# Fused multiply-add sites in MWCC game code (port/tools/fma_scan.py objs).
# file:line function kind count
MSL/math.c:96 logf fmadds 2
MSL/math.c:101 logf fmadds 1
MSL/trigf.c:32 sinf fmadds 4
MSL/trigf.c:39 sinf fmadds 1
MSL/trigf.c:46 sinf fmadds 4
MSL/trigf.c:56 sinf fmadds 4
MSL/trigf.c:76 cosf fmadds 4
MSL/trigf.c:82 cosf fnmsubs 1
MSL/trigf.c:88 cosf fmadds 3
MSL/trigf.c:88 cosf fnmadds 1
MSL/trigf.c:98 cosf fmadds 4
dolphin/axfx/chorus.c:200 do_src1 fmadds 1
dolphin/axfx/chorus.c:202 do_src1 fmadds 1
dolphin/axfx/chorus.c:204 do_src1 fmadds 1
dolphin/axfx/chorus.c:216 do_src1 fmadds 1
dolphin/axfx/chorus.c:219 do_src1 fmadds 1
dolphin/axfx/chorus.c:225 do_src1 fmadds 1
dolphin/axfx/chorus.c:317 do_src2 fmadds 1
dolphin/axfx/chorus.c:320 do_src2 fmadds 1
dolphin/axfx/chorus.c:326 do_src2 fmadds 1
dolphin/axfx/chorus.c:352 do_src2 fmadds 1
dolphin/axfx/chorus.c:354 do_src2 fmadds 1
dolphin/axfx/chorus.c:362 do_src2 fmadds 1
dolphin/axfx/reverb_hi.c:358 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:360 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:378 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:396 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:405 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:412 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:418 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:429 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:434 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:440 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:446 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:474 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:475 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:493 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:511 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:519 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:526 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:531 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:541 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:548 HandleReverb fmadds 1
dolphin/axfx/reverb_hi.c:554 HandleReverb fnmsubs 1
dolphin/axfx/reverb_hi.c:560 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:225 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:227 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:246 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:255 HandleReverb fnmsubs 1
dolphin/axfx/reverb_std.c:272 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:273 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:276 HandleReverb fnmsubs 1
dolphin/axfx/reverb_std.c:281 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:304 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:305 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:323 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:331 HandleReverb fnmsubs 1
dolphin/axfx/reverb_std.c:347 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:349 HandleReverb fmadds 1
dolphin/axfx/reverb_std.c:354 HandleReverb fnmsubs 1
dolphin/axfx/reverb_std.c:359 HandleReverb fmadds 1
dolphin/mtx/mtx.c:646 PSMTXRotAxisRad fnmsubs 1
dolphin/mtx/mtx.c:647 PSMTXRotAxisRad fmadds 1
dolphin/mtx/vec.c:116 PSVECNormalize fnmsubs 1
dolphin/mtx/vec.c:160 PSVECMag fnmsubs 1
melee/cm/camera.c:15 sqrtf__Ff fnmsub 3
melee/cm/camera.c:539 Camera_8002958C fmadds 1
melee/cm/camera.c:567 Camera_8002958C fmadds 1
melee/cm/camera.c:595 Camera_8002958C fmadds 1
melee/cm/camera.c:623 Camera_8002958C fmadds 1
melee/cm/camera.c:671 Camera_8002958C fmadds 1
melee/cm/camera.c:732 Camera_80029AAC fmadds 1
melee/cm/camera.c:742 Camera_80029AAC fmadds 2
melee/cm/camera.c:785 Camera_80029C88 fmadds 3
melee/cm/camera.c:847 Camera_80029CF8 fmadds 1
melee/cm/camera.c:849 Camera_80029CF8 fmadds 1
melee/cm/camera.c:860 Camera_80029CF8 fmadds 1
melee/cm/camera.c:863 Camera_80029CF8 fmsubs 1
melee/cm/camera.c:871 Camera_80029CF8 fnmsubs 1
melee/cm/camera.c:883 Camera_80029CF8 fmsubs 1
melee/cm/camera.c:885 Camera_80029CF8 fmadds 1
melee/cm/camera.c:894 Camera_80029CF8 fnmsubs 1
melee/cm/camera.c:959 Camera_ApplyQuake fmadds 2
melee/cm/camera.c:1414 Camera_8002B0E0 fnmsubs 1
melee/cm/camera.c:1567 Camera_8002B3D4 fmadds 1
melee/cm/camera.c:1568 Camera_8002B3D4 fmadds 1
melee/cm/camera.c:1733 Camera_8002BAA8 fnmsub 3
melee/cm/camera.c:1742 Camera_8002BAA8 fmadds 2
melee/cm/camera.c:1840 Camera_8002BD88 fmadds 1
melee/cm/camera.c:1849 Camera_8002BD88 fmadds 1
melee/cm/camera.c:1891 Camera_8002C010 fmadds 1
melee/cm/camera.c:1900 Camera_8002C010 fmadds 1
melee/cm/camera.c:1996 Camera_8002C1A8 fmadds 1
melee/cm/camera.c:2133 Camera_8002C5B4 fnmsub 3
melee/cm/camera.c:2135 Camera_8002C5B4 fnmsub 3
melee/cm/camera.c:2334 Camera_8002C908 fmadds 1
melee/cm/camera.c:2473 Camera_8002CDDC fmadds 1
melee/cm/camera.c:2482 Camera_8002CDDC fmadds 1
melee/cm/camera.c:2483 Camera_8002CDDC fmadds 1
melee/cm/camera.c:2556 Camera_8002D318 fnmsubs 1
melee/cm/camera.c:2561 Camera_8002D318 fmadds 4
melee/cm/camera.c:2571 Camera_8002D318 fmadds 1
melee/cm/camera.c:2593 Camera_8002D318 fmadds 1
melee/cm/camera.c:2596 Camera_8002D318 fmadds 1
melee/cm/camera.c:2601 Camera_8002D318 fmadds 4
melee/cm/camera.c:2615 Camera_8002D318 fmadds 1
melee/cm/camera.c:2616 Camera_8002D318 fmadds 1
melee/cm/camera.c:2650 Camera_8002D85C fmadds 3
melee/cm/camera.c:2666 Camera_8002D85C fmadds 1
melee/cm/camera.c:2701 Camera_8002D85C fmadds 1
melee/cm/camera.c:2704 Camera_8002D85C fmadds 1
melee/cm/camera.c:2709 Camera_8002D85C fmadds 4
melee/cm/camera.c:2723 Camera_8002D85C fmadds 1
melee/cm/camera.c:2724 Camera_8002D85C fmadds 1
melee/cm/camera.c:2780 Camera_8002DDC4 fmadds 3
